attribute,level_key,level_label,id,context,title,summary,bullet_1,bullet_2,focus_area,organization,project_name
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_01,customer feedback review,Customer Feedback Review Project,Completed a project focused on customer feedback review using standard spreadsheet and reporting tools.,Reviewed customer feedback comments and organized findings into weekly reporting summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_02,sales reporting,Sales Reporting Project,Completed a project focused on sales reporting using standard spreadsheet and reporting tools.,Reviewed monthly sales records and organized findings into summary dashboards for managers.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_03,inventory tracking,Inventory Tracking Project,Completed a project focused on inventory tracking using standard spreadsheet and reporting tools.,Reviewed inventory reconciliation tasks and organized findings into stock exception summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_04,marketing analysis,Marketing Analysis Project,Completed a project focused on marketing analysis using standard spreadsheet and reporting tools.,Reviewed campaign performance notes and organized findings into recurring campaign reports.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_05,recruiting support,Recruiting Support Project,Completed a project focused on recruiting support using standard spreadsheet and reporting tools.,Reviewed candidate screening notes and organized findings into interview scheduling updates.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_06,budget reconciliation,Budget Reconciliation Project,Completed a project focused on budget reconciliation using standard spreadsheet and reporting tools.,Reviewed expense entries from multiple teams and organized findings into monthly budget summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_07,operations reporting,Operations Reporting Project,Completed a project focused on operations reporting using standard spreadsheet and reporting tools.,Reviewed service request logs and organized findings into operations status updates.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_08,survey analysis,Survey Analysis Project,Completed a project focused on survey analysis using standard spreadsheet and reporting tools.,Reviewed survey response files and organized findings into summary tables for presentations.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_09,vendor coordination,Vendor Coordination Project,Completed a project focused on vendor coordination using standard spreadsheet and reporting tools.,Reviewed vendor comparison notes and organized findings into procurement status summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_10,appointment scheduling,Appointment Scheduling Project,Completed a project focused on appointment scheduling using standard spreadsheet and reporting tools.,Reviewed client scheduling requests and organized findings into calendar coordination updates.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_11,billing review,Billing Review Project,Completed a project focused on billing review using standard spreadsheet and reporting tools.,Reviewed billing exception records and organized findings into payment follow-up summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_12,quality tracking,Quality Tracking Project,Completed a project focused on quality tracking using standard spreadsheet and reporting tools.,Reviewed quality review comments and organized findings into issue tracking summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_13,training support,Training Support Project,Completed a project focused on training support using standard spreadsheet and reporting tools.,Reviewed training feedback forms and organized findings into session recap notes.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_14,document review,Document Review Project,Completed a project focused on document review using standard spreadsheet and reporting tools.,Reviewed repetitive document comparison tasks and organized findings into version control checklists.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_15,social media reporting,Social Media Reporting Project,Completed a project focused on social media reporting using standard spreadsheet and reporting tools.,Reviewed engagement data exports and organized findings into weekly content performance summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_16,market research,Market Research Project,Completed a project focused on market research using standard spreadsheet and reporting tools.,Reviewed competitor pricing notes and organized findings into comparison tables for staff meetings.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_17,logistics coordination,Logistics Coordination Project,Completed a project focused on logistics coordination using standard spreadsheet and reporting tools.,Reviewed shipment status updates and organized findings into daily fulfillment summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_18,client onboarding,Client Onboarding Project,Completed a project focused on client onboarding using standard spreadsheet and reporting tools.,Reviewed new client intake forms and organized findings into onboarding status trackers.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_19,event planning,Event Planning Project,Completed a project focused on event planning using standard spreadsheet and reporting tools.,Reviewed registration and attendance records and organized findings into post-event recap summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,no_ai_related_experience,No AI-related experience mentioned,ai_20,compliance support,Compliance Support Project,Completed a project focused on compliance support using standard spreadsheet and reporting tools.,Reviewed policy review checklists and organized findings into compliance tracking summaries.,Built a consistent process for checking outputs and sharing updates with team members.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_01,customer feedback review,Customer Feedback Review Project,Used generative AI to streamline drafting and review steps in a customer feedback review project.,Used generative AI to speed up first-pass review of customer feedback comments before final manual checks.,Reduced repetitive drafting time and delivered weekly reporting summaries more efficiently.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_02,sales reporting,Sales Reporting Project,Used generative AI to streamline drafting and review steps in a sales reporting project.,Used generative AI to speed up first-pass review of monthly sales records before final manual checks.,Reduced repetitive drafting time and delivered summary dashboards for managers more efficiently.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_03,inventory tracking,Inventory Tracking Project,Used generative AI to streamline drafting and review steps in a inventory tracking project.,Used generative AI to speed up first-pass review of inventory reconciliation tasks before final manual checks.,Reduced repetitive drafting time and delivered stock exception summaries more efficiently.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_04,marketing analysis,Marketing Analysis Project,Used generative AI to streamline drafting and review steps in a marketing analysis project.,Used generative AI to speed up first-pass review of campaign performance notes before final manual checks.,Reduced repetitive drafting time and delivered recurring campaign reports more efficiently.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_05,recruiting support,Recruiting Support Project,Used generative AI to streamline drafting and review steps in a recruiting support project.,Used generative AI to speed up first-pass review of candidate screening notes before final manual checks.,Reduced repetitive drafting time and delivered interview scheduling updates more efficiently.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_06,budget reconciliation,Budget Reconciliation Project,Used generative AI to streamline drafting and review steps in a budget reconciliation project.,Used generative AI to speed up first-pass review of expense entries from multiple teams before final manual checks.,Reduced repetitive drafting time and delivered monthly budget summaries more efficiently.,,,
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_07,operations reporting,Operations Reporting Project,Used generative AI to streamline drafting and review steps in a operations reporting project.,Used generative AI to speed up first-pass review of service request logs before final manual checks.,Reduced repetitive drafting time and delivered operations status updates more efficiently.,,,
